dylib_name,device_name,usb_vid,usb_pid,paired_pid,protocol,device_type,has_battery,has_sidetone,has_eq,has_lighting
libsabre_2.dylib,SABRE RGB LASER,0x1B1C,0x1B19,,NXP,Mouse,false,false,false,true
libsabre_pro.dylib,SABRE PRO CHAMPION SERIES,0x1B1C,0x1B7A,,Bragi,Mouse,false,false,false,true
libsabre_rgb.dylib,SABRE RGB,0x1B1C,0x1B2F,,NXP,Mouse,false,false,false,true
libsabre_rgb_pro.dylib,SABRE RGB PRO CHAMPION SERIES,0x1B1C,0x1B79,,Bragi,Mouse,false,false,false,true
libsabre_rgb_pro_wireless.dylib,SABRE RGB PRO WIRELESS,0x1B1C,0x1B98,,Bragi,Mouse,true,false,false,true
libscimitar.dylib,SCIMITAR,0x1B1C,0x1B1E,,NXP,Mouse,false,false,false,true
libscimitar_elite_rgb.dylib,SCIMITAR RGB ELITE,0x1B1C,0x1B8B,,NXP,Mouse,false,false,false,true
libscimitar_pro_rgb.dylib,SCIMITAR PRO RGB,0x1B1C,0x1B3E,,NXP,Mouse,false,false,false,true
libsledge.dylib,K70 RGB TKL Champion Series,0x1B1C,0x1BB9,,Bragi,Keyboard,false,false,false,true
libslipstream_wireless_dongle.dylib,SLIPSTREAM WIRELESS USB Receiver,0x1B1C,0x1BA6,,Bragi,Dongle,false,false,false,true
libst100_rgb.dylib,ST100 RGB,0x1B1C,0x0A36,,Legacy,HeadsetStand,false,false,true,true
libstrafe_1.dylib,STRAFE,0x1B1C,0x1B15,,NXP,Keyboard,false,false,false,true
libstrafe_2.dylib,STRAFE,0x1B1C,0x1B44,,NXP,Keyboard,false,false,false,true
libstrafe_rgb.dylib,STRAFE RGB,0x1B1C,0x1B20,,NXP,Keyboard,false,false,false,true
libstrafe_rgb_mk_2.dylib,STRAFE RGB MK.2,0x1B1C,0x1B48,,NXP,Keyboard,false,false,false,true
libvirtuoso_black.dylib,VIRTUOSO,0x1B1C,0x0A41,0x0A4A,Bragi,Headset,true,true,true,true
libvirtuoso_black_dongle.dylib,VIRTUOSO WIRELESS RECEIVER,0x1B1C,0x0A4A,,Bragi,Dongle,false,false,false,true
libvirtuoso_pearl.dylib,VIRTUOSO,0x1B1C,0x0A5A,0x0A67,Bragi,Headset,true,true,true,true
libvirtuoso_pearl_dongle.dylib,VIRTUOSO WIRELESS RECEIVER,0x1B1C,0x0A67,,Bragi,Dongle,false,false,false,true
libvirtuoso_se_brown.dylib,VIRTUOSO SE,0x1B1C,0x0A3F,0x0A48,Bragi,Headset,true,true,true,true
libvirtuoso_se_brown_dongle.dylib,VIRTUOSO SE WIRELESS RECEIVER,0x1B1C,0x0A48,,Bragi,Dongle,false,false,false,true
libvirtuoso_se_gunmetal.dylib,VIRTUOSO SE,0x1B1C,0x0A3D,0x0A46,Bragi,Headset,true,true,true,true
libvirtuoso_se_gunmetal_dongle.dylib,VIRTUOSO SE WIRELESS RECEIVER,0x1B1C,0x0A46,,Bragi,Dongle,false,false,false,true
libvirtuoso_white.dylib,VIRTUOSO,0x1B1C,0x0A43,0x0A4C,Bragi,Headset,true,true,true,true
libvirtuoso_white_dongle.dylib,VIRTUOSO WIRELESS RECEIVER,0x1B1C,0x0A4C,,Bragi,Dongle,false,false,false,true
libvirtuoso_xt_gunmetal.dylib,VIRTUOSO XT,0x1B1C,0x0A62,0x0A64,Bragi,Headset,true,true,true,true
libvirtuoso_xt_gunmetal_dongle.dylib,VIRTUOSO XT WIRELESS RECEIVER,0x1B1C,0x0A64,,Bragi,Dongle,false,false,false,true
libvirtuoso_xt_t_pain.dylib,VIRTUOSO XT,0x1B1C,0x0A76,0x0A78,Bragi,Headset,true,true,true,true
libvirtuoso_xt_t_pain_dongle.dylib,VIRTUOSO XT WIRELESS RECEIVER,0x1B1C,0x0A78,,Bragi,Dongle,false,false,false,true
libvoid_elite_surround_carbon.dylib,VOID ELITE SURROUND,0x1B1C,0x0A53,,Legacy,Headset,false,true,true,true
libvoid_elite_surround_cherry.dylib,VOID ELITE SURROUND,0x1B1C,0x0A57,,Legacy,Headset,false,true,true,true
libvoid_elite_usb_carbon.dylib,VOID ELITE USB,0x1B1C,0x0A52,,Legacy,Headset,false,true,true,true
libvoid_elite_usb_white.dylib,VOID ELITE USB,0x1B1C,0x0A56,,Legacy,Headset,false,true,true,true
libvoid_elite_wireless_carbon.dylib,VOID ELITE WIRELESS,0x1B1C,0x0A51,,Legacy,Headset,true,true,true,true
libvoid_elite_wireless_grey.dylib,VOID ELITE WIRELESS,0x1B1C,0x0A75,,Legacy,Headset,true,true,true,true
libvoid_elite_wireless_white.dylib,VOID ELITE WIRELESS,0x1B1C,0x0A55,,Legacy,Headset,true,true,true,true
libvoid_pro_surround_carbon.dylib,VOID PRO SURROUND,0x1B1C,0x0A18,,Legacy,Headset,false,true,true,true
libvoid_pro_surround_cherry.dylib,VOID PRO SURROUND,0x1B1C,0x0A1E,,Legacy,Headset,false,true,true,true
libvoid_pro_usb_carbon.dylib,VOID PRO USB,0x1B1C,0x0A17,,Legacy,Headset,false,true,true,true
libvoid_pro_usb_ig.dylib,VOID PRO USB IG,0x1B1C,0x0A1F,,Legacy,Headset,false,true,true,true
libvoid_pro_usb_white.dylib,VOID PRO USB,0x1B1C,0x0A1D,,Legacy,Headset,false,true,true,true
libvoid_pro_wireless_carbon.dylib,VOID PRO WIRELESS,0x1B1C,0x0A14,,Legacy,Headset,true,true,true,true
libvoid_pro_wireless_se_yellow.dylib,VOID PRO WIRELESS,0x1B1C,0x0A16,,Legacy,Headset,true,true,true,true
libvoid_pro_wireless_white.dylib,VOID PRO WIRELESS,0x1B1C,0x0A1A,,Legacy,Headset,true,true,true,true
libvoid_surround_carbon.dylib,VOID SURROUND,0x1B1C,0x0A31,,Legacy,Headset,false,true,true,false
libvoid_surround_red.dylib,VOID SURROUND,0x1B1C,0x0A30,,Legacy,Headset,false,true,true,false
